start,target
10/04/2022,3777.41
11/04/2022,3777.41
12/04/2022,3744.16
13/04/2022,3736.7
14/04/2022,3737.32
15/04/2022,3737.32
16/04/2022,3737.32
17/04/2022,3737.32
18/04/2022,3737.32
19/04/2022,3731.31
20/04/2022,3755.85
21/04/2022,3758.65
22/04/2022,3759.54
23/04/2022,3819.07
24/04/2022,3819.07
25/04/2022,3819.07
26/04/2022,3931.74
27/04/2022,3947.63
28/04/2022,3967.32
29/04/2022,3984.77
30/04/2022,3966.27
01/05/2022,3966.27
02/05/2022,3966.27
03/05/2022,4004.07
04/05/2022,4016.34
05/05/2022,4056.41
06/05/2022,4086.08
07/05/2022,4053.93
08/05/2022,4053.93
09/05/2022,4053.93
10/05/2022,4085.76
11/05/2022,4086.71
12/05/2022,4080.32
13/05/2022,4109.71
14/05/2022,4110.53
15/05/2022,4110.53
16/05/2022,4110.53
17/05/2022,4070.25
18/05/2022,4033.85
19/05/2022,4054.71
20/05/2022,4050.88
21/05/2022,3989.84
22/05/2022,3989.84
23/05/2022,3989.84
24/05/2022,3950.35
25/05/2022,3971.28
26/05/2022,3959.05
27/05/2022,3930.89
28/05/2022,3912.34
29/05/2022,3912.34
30/05/2022,3912.34
31/05/2022,3912.34
01/06/2022,3776.52
02/06/2022,3791.74
03/06/2022,3784.98
04/06/2022,3771.63
05/06/2022,3771.63
06/06/2022,3771.63
07/06/2022,3799.5
08/06/2022,3790.88
09/06/2022,3782.65
10/06/2022,3833.34
11/06/2022,3912.51
12/06/2022,3912.51
13/06/2022,3912.51
14/06/2022,4016.5
15/06/2022,3979.3
16/06/2022,3923.96
17/06/2022,3912.15
18/06/2022,3905.05
19/06/2022,3905.05
20/06/2022,3905.05
21/06/2022,3905.05
22/06/2022,4026.92
23/06/2022,4026.52
24/06/2022,4068.75
25/06/2022,4129.87
26/06/2022,4129.87
27/06/2022,4129.87
28/06/2022,4129.87
29/06/2022,4089.72
30/06/2022,4127.47
01/07/2022,4151.21
02/07/2022,4198.77
03/07/2022,4198.77
04/07/2022,4198.77
05/07/2022,4198.77
06/07/2022,4259.86
07/07/2022,4348.68
08/07/2022,4369.7
09/07/2022,4388.27
10/07/2022,4388.27
11/07/2022,4388.27
12/07/2022,4513.28
13/07/2022,4627.46
14/07/2022,4558.05
15/07/2022,4519.65
16/07/2022,4395.63
17/07/2022,4395.63
18/07/2022,4395.63
19/07/2022,4315.41
20/07/2022,4303.34
21/07/2022,4303.34
22/07/2022,4410.14
23/07/2022,4423.86
24/07/2022,4423.86
25/07/2022,4423.86
26/07/2022,4461.63
27/07/2022,4445.01
28/07/2022,4420.75
29/07/2022,4375.51
30/07/2022,4300.3
31/07/2022,4300.3
01/08/2022,4300.3
02/08/2022,4245.99
03/08/2022,4313.3
04/08/2022,4331.15
05/08/2022,4268.3
06/08/2022,4337.28
07/08/2022,4337.28
08/08/2022,4337.28
09/08/2022,4307.09
10/08/2022,4309.69
11/08/2022,4273.82
12/08/2022,4231.45
13/08/2022,4185.49
14/08/2022,4185.49
15/08/2022,4185.49
16/08/2022,4185.49
17/08/2022,4218.48
18/08/2022,4316.47
19/08/2022,4413.86
20/08/2022,4400.25
21/08/2022,4400.25
22/08/2022,4400.25
23/08/2022,4399.16
24/08/2022,4374.45
25/08/2022,4380.19
26/08/2022,4407.95
27/08/2022,4388.02
28/08/2022,4388.02
29/08/2022,4388.02
30/08/2022,4386.13
31/08/2022,4400.16
01/09/2022,4422.77
02/09/2022,4467.03
03/09/2022,4466.73
04/09/2022,4466.73
05/09/2022,4466.73
06/09/2022,4466.73
07/09/2022,4480.1
08/09/2022,4446.36
09/09/2022,4396.69
10/09/2022,4365.32
11/09/2022,4365.32
12/09/2022,4365.32
13/09/2022,4346.91
14/09/2022,4413.89
15/09/2022,4389.8
16/09/2022,4404.64
17/09/2022,4435.84
18/09/2022,4435.84
19/09/2022,4435.84
20/09/2022,4415.11
21/09/2022,4420.38
22/09/2022,4403.82
23/09/2022,4379.8
24/09/2022,4426.47
25/09/2022,4426.47
26/09/2022,4426.47
27/09/2022,4496.99
28/09/2022,4556.42
29/09/2022,4486.94
30/09/2022,4532.07
01/10/2022,4590.54
02/10/2022,4590.54
03/10/2022,4590.54
04/10/2022,4545.66
05/10/2022,4484.74
06/10/2022,4548.89
07/10/2022,4627.61
08/10/2022,4605.29
09/10/2022,4605.29
10/10/2022,4605.29
11/10/2022,4605.29
12/10/2022,4611.88
13/10/2022,4611.18
14/10/2022,4619.78
15/10/2022,4636.83
16/10/2022,4636.83
17/10/2022,4636.83
18/10/2022,4636.83
19/10/2022,4744.04
20/10/2022,4815.09
21/10/2022,4885.5
22/10/2022,4913.24
23/10/2022,4913.24
24/10/2022,4913.24
25/10/2022,4968.94
26/10/2022,4948.14
27/10/2022,4895.29
28/10/2022,4821.92
29/10/2022,4819.42
30/10/2022,4819.42
31/10/2022,4819.42
01/11/2022,4898.74
02/11/2022,4975.58
03/11/2022,5015.84
04/11/2022,5058.02
05/11/2022,5061.21
06/11/2022,5061.21
07/11/2022,5061.21
08/11/2022,5061.21
09/11/2022,5013.2
10/11/2022,4914.71
11/11/2022,4806.07
12/11/2022,4806.07
13/11/2022,4806.07
14/11/2022,4806.07
15/11/2022,4806.07
16/11/2022,4801.06
17/11/2022,4922.7
18/11/2022,5022.03
19/11/2022,4994.61
20/11/2022,4994.61
21/11/2022,4994.61
22/11/2022,4958.42
23/11/2022,4914.34
24/11/2022,4875.91
25/11/2022,4875.91
26/11/2022,4881.41
27/11/2022,4881.41
28/11/2022,4881.41
29/11/2022,4840.6
30/11/2022,4809.51
01/12/2022,4815.59
02/12/2022,4779.06
03/12/2022,4767.19
04/12/2022,4767.19
05/12/2022,4767.19
06/12/2022,4812.37
07/12/2022,4818.32
08/12/2022,4825.83
09/12/2022,4825.83
10/12/2022,4815.99
11/12/2022,4815.99
12/12/2022,4815.99
13/12/2022,4836.24
14/12/2022,4791.57
15/12/2022,4778.28
16/12/2022,4797.02
17/12/2022,4802.48
18/12/2022,4802.48
19/12/2022,4802.48
20/12/2022,4781.28
21/12/2022,4769.29
22/12/2022,4761.64
23/12/2022,4760.61
24/12/2022,4745.04
25/12/2022,4745.04
26/12/2022,4745.04
27/12/2022,4745.04
28/12/2022,4766.82
29/12/2022,4765.92
30/12/2022,4810.2
31/12/2022,4810.2
01/01/2023,4810.2
02/01/2023,4810.2
03/01/2023,4810.2
04/01/2023,4842.26
05/01/2023,4924
06/01/2023,4989.58
07/01/2023,4885.66
08/01/2023,4885.66
09/01/2023,4885.66
10/01/2023,4885.66
11/01/2023,4807.85
12/01/2023,4748.54
13/01/2023,4692.04
14/01/2023,4693.99
15/01/2023,4693.99
16/01/2023,4693.99
17/01/2023,4693.99
18/01/2023,4691.09
19/01/2023,4702.67
20/01/2023,4683.85
21/01/2023,4631.64
22/01/2023,4631.64
23/01/2023,4631.64
24/01/2023,4551.02
25/01/2023,4545.94
26/01/2023,4538.91
27/01/2023,4531.75
28/01/2023,4548.5
29/01/2023,4548.5
30/01/2023,4548.5
31/01/2023,4632.2
01/02/2023,4648.7
02/02/2023,4639.04
03/02/2023,4584.44
04/02/2023,4669.74
05/02/2023,4669.74
06/02/2023,4669.74
07/02/2023,4776.25
08/02/2023,4775.99
09/02/2023,4769.85
10/02/2023,4742.05
11/02/2023,4777.73
12/02/2023,4777.73
13/02/2023,4777.73
14/02/2023,4818.62
15/02/2023,4783.24
16/02/2023,4878.24
17/02/2023,4966.33
18/02/2023,4918.94
19/02/2023,4918.94
20/02/2023,4918.94
21/02/2023,4918.94
22/02/2023,4950.33
23/02/2023,4924.91
24/02/2023,4853.9
25/02/2023,4849.65
26/02/2023,4849.65
27/02/2023,4849.65
28/02/2023,4808.14
01/03/2023,4814.11
02/03/2023,4848.78
03/03/2023,4855.83
04/03/2023,4780.89
05/03/2023,4780.89
06/03/2023,4780.89
07/03/2023,4734.42
08/03/2023,4744.95
09/03/2023,4755.59
10/03/2023,4748.61
11/03/2023,4748.14
12/03/2023,4748.14
13/03/2023,4748.14
14/03/2023,4769.76
15/03/2023,4736.03
16/03/2023,4835.51
17/03/2023,4866.5
18/03/2023,4824.25
19/03/2023,4824.25
20/03/2023,4824.25
21/03/2023,4824.25
22/03/2023,4804.29
23/03/2023,4776.09
24/03/2023,4755.12
25/03/2023,4741.76
26/03/2023,4741.76
27/03/2023,4741.76
28/03/2023,4686.83
29/03/2023,4658.79
30/03/2023,4627.63
31/03/2023,4627.27
01/04/2023,4646.08
02/04/2023,4646.08
03/04/2023,4646.08
04/04/2023,4603
05/04/2023,4587.31
06/04/2023,4570.91
07/04/2023,4570.91
08/04/2023,4570.91
09/04/2023,4570.91
10/04/2023,4570.91
